,NAICS2012Code,NAICS2012Part,ISIC4Code,ISIC4Part,Detail
91,339940,-1,1399,-1,artists' canvas boards and tracing cloth
92,339991,-1,1399,-1,textile gaskets
93,339991,-1,1512,-1,leather gaskets
94,561990,-1,1313,-1,"cloth cutting, winding, or bolting for the trade"
95,315110,0,1430,-1,
96,315190,0,1430,-1,
97,315210,-1,1410,-1,cutting and sewing contractors except for fur apparel
98,315210,-1,1420,-1,cutting and sewing contractors for fur apparel
99,315220,0,1410,-1,
100,315240,-1,1410,-1,except artificial fur coats
101,315240,-1,1420,-1,cut and sew artificial fur coats
102,315280,-1,1410,-1,except fur apparel
103,315280,-1,1420,-1,fur apparel (except hats)
104,315990,-1,1410,-1,"except fur gloves and mittens; rubber bathing caps and aprons; and hat, cap, umbrella, and similar trimmings made from purchased fabrics"
105,315990,-1,1420,-1,fur gloves and mittens
106,315990,-1,2219,-1,rubber bathing caps and aprons
107,316998,-1,1410,-1,leather industrial work accessories; protective leather garments
108,313110,0,1311,-1,
109,313210,-1,1312,0,except artificial fur on woven base
110,313220,0,1399,-1,
111,313230,0,1399,-1,
112,313240,-1,1391,0,
113,313240,-1,1399,-1,"lace and lace products except knit lace, except finishing"
114,313310,-1,1311,-1,preparation of fibers
115,313310,-1,1313,-1,except preparation of fibers
116,313320,-1,1313,-1,except rubberizing fabric
117,314110,0,1393,-1,
118,314120,-1,1392,-1,except plastics shower curtains and table cloths made from purchased materials
119,314910,-1,1392,-1,except plastics blanket bags
120,314910,-1,1512,-1,plastics blanket bags - sewn
121,314994,-1,1394,-1,
122,314994,-1,1399,-1,
123,314999,-1,1311,-1,processing textile mill waste
124,314999,-1,1313,-1,"embroidery, decorative stitching, dyeing, etc. on textile articles and apparel"
125,314999,-1,1392,-1,"miscellaneous textile products, such as dust cloths, sleeping bags, etc."
126,314999,-1,1393,-1,"rug binding for the trade and carpet cutting, carpets made from purchased fabric"
127,314999,-1,1394,-1,knotted rope net products made from purchased rope
128,314999,-1,1399,-1,"bats, batting, upholstery filling, textile fire hose, and similar industrial textile products; powder puffs and mitts"
139,321999,-1,2220,-1,plastic shoe lasts
140,321999,-1,3100,-1,"wood television, radio, and sewing machine cabinet manufacturing"
142,324199,-1,1629,-1,fire logs made of pressed wood and purchased refined petroleum binders
143,337215,-1,1622,-1,wood partitions (except free standing)
144,337920,-1,1629,-1,wooden window blinds and curtain and drapery rods and fixtures
145,339940,-1,1629,-1,frames for artists' canvases
146,339950,-1,1629,-1,wooden signs
147,339991,-1,1629,-1,cork gaskets
148,339999,-1,1629,-1,wooden mirror and picture frames
149,322121,-1,2399,-1,tar paper made in paper mills
151,322220,-1,2220,-1,"vinyl wallpaper, plastic wallpaper, plastics self-adhesive tape"
152,322220,-1,2420,-1,"aluminum foil laminates made from purchased aluminum, foil as primary component; precious metal foil laminates made from purchased foil; laminating purchased foil and paper for packaging uses, foil as primary component"
153,322220,-1,2599,-1,foil bag manufacturing
154,323111,-1,1709,-1,except printing only of looseleaf fillers and looseleaf binding fittings
155,323111,-1,1811,-1,"lithographic, gravure, flexographic, digital, quick, and other commercial printing, except screen and books; printing manifold business forms and looseleaf fillers"
156,323113,-1,1811,-1,except screen printing on made up textile products and apparel
157,323117,0,1811,-1,
158,323120,0,1812,0,
159,332992,-1,1709,-1,ammunition wads
160,334614,0,1820,0,
161,339940,-1,1701,-1,bulk carbon paper or stencil paper in rolls or large sheets
162,339940,-1,1709,-1,"ready to use carbon paper, duplicator stencils, etc."
163,339950,-1,1811,-1,"printing plastic, wood, glass, etc. signs"
164,339991,-1,1709,-1,paper or paperboard gaskets made from purchased paper
165,323111,-1,2599,-1,looseleaf binding fittings
166,323111,-1,8219,-1,"quick printing combined with photocopy services, photocopy primary"
168,322110,0,1701,-1,
169,322121,-1,1701,-1,paper mills
170,322121,-1,1702,-1,corrugated paper or paperboard or containers made in paper mills
171,322121,-1,1709,-1,manufacture of other articles of paper in paper mills
172,322122,0,1701,-1,
173,322130,-1,1701,-1,paperboard
174,322130,-1,1702,-1,corrugated paperboard or containers made in paperboard mills
175,322130,-1,1709,-1,manufacture of other articles of paper in paperboard mills
176,322211,0,1702,-1,
177,322212,0,1702,-1,
178,322219,-1,1702,-1,"except cones, bobbins, spools, paper cups, dishes, straws, etc. made from purchased paper or paperboard"
179,322219,-1,1709,-1,"cones, bobbins, spools, paper cups, dishes, straws, etc. made from purchased paper or paperboard"
180,322220,-1,1701,-1,"laminating purchased foil and purchased paper, paper as primary component; coating and laminating paper for other than packaging uses; coating purchased paperboard"
181,322220,-1,1702,-1,except foil bag manufacturing
182,322220,-1,1709,-1,"labels, gummed stock (including printing done at the same establishment), wallpaper, paper pressure sensitive tape, and chipboard, coated or laminated, made from purchased paperboard"
183,322230,0,1709,-1,
184,322291,0,1709,-1,
185,322299,-1,1701,-1,crepe paper (or crinkling paper) made from purchased paper
186,322299,-1,1702,-1,die-cut paper products (except office use) made from purchased paper or paperboard
187,322299,-1,1709,-1,except crepe paper and die-cut paper products (except office use) made from purchased paper
194,324121,0,2399,-1,
195,324122,0,2399,-1,
197,325110,-1,1920,-1,manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants
198,325194,-1,1910,-1,coal tar distillates
201,325199,-1,2100,-1,salicylic acid (nonmedicinal)
202,325220,-1,2220,-1,cellophane film or sheet
203,325411,0,2100,-1,
204,325412,0,2100,-1,
205,325413,-1,2100,-1,except diagnostic reagents
206,325414,0,2100,-1,
207,325992,-1,2817,-1,toner cartridges
208,325998,-1,2399,-1,drilling mud compounds
209,325998,-1,8292,-1,aerosol packaging
211,332992,-1,2029,-1,small arms percussion caps and primers
212,332993,-1,2029,-1,"detonators, fuses, and primers for ammunition"
213,332999,-1,2023,-1,soap impregnated metal scouring pads
214,339940,-1,2022,-1,artists' paints and colors
215,339999,-1,2023,-1,potpourri
217,325110,-1,2011,-1,except manufacture of paraffin and similar from purchased refined petroleum in petrochemical plants
218,325120,0,2011,-1,
219,325130,0,2011,-1,
220,325180,-1,2011,-1,"except ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc."
221,325180,-1,2012,-1,"ammonium chloride and other ammonium compounds not specified elsewhere, potassium nitrate, etc."
222,325193,0,2011,-1,
224,325194,-1,2011,-1,except prepared water pigments for finishing leather and coal tar distillates
225,325194,-1,2022,-1,prepared water pigments for finishing leather
226,325199,-1,2011,-1,"except synthetic plasticizer compounds, synthetic accelerators, synthetic essential oils, naphthenic acid soaps, and salicylic acid (nonmedicinal)"
227,325199,-1,2029,-1,"synthetic plasticizer compounds, synthetic accelerators, synthetic essential oils, naphthenic acid soaps"
228,325211,0,2013,-1,
229,325212,0,2013,-1,
230,325220,-1,2030,0,except cellophane film or sheet
232,325311,0,2012,-1,
233,325312,-1,2011,-1,phosphoric acid
234,325312,-1,2012,-1,except phosphoric acid
235,325314,0,2012,-1,
236,325320,0,2021,-1,
237,325413,-1,2029,-1,diagnostic reagents
238,325510,0,2022,-1,
239,325520,-1,2022,-1,except glues
240,325520,-1,2029,-1,glues
241,325611,0,2023,-1,
242,325612,-1,2011,-1,household lye
243,325612,-1,2021,-1,household and industrial disinfectants
244,325612,-1,2023,-1,"except household and industrial disinfectants, household lye, and laundry starch"
245,325612,-1,2029,-1,laundry starch
246,325613,-1,2023,-1,"except leather and textile finishing agents, mordants"
247,325613,-1,2029,-1,"leather and textile finishing agents, mordants"
248,325620,0,2023,-1,
249,325910,0,2022,-1,
250,325920,0,2029,-1,
251,325991,0,2013,-1,
252,325992,-1,2029,-1,except toner cartridges
254,325998,-1,2011,-1,distilled water
255,325998,-1,2022,-1,textile dye preparations and other household dye or tinting preparations (except hair)
256,325998,-1,2023,-1,incense and engine degreasers
257,325998,-1,2029,-1,"except distilled water, textile dye preparations, household dye (except hair) drilling mud compounds, and aerosol packaging"
260,339113,-1,2100,-1,"surgical dressings, surgical sutures, etc., medicated"
261,326199,-1,2720,-1,plastics battery separators
262,326199,-1,2920,-1,plastics air cargo containers
263,326199,-1,3100,-1,"plastics counter tops, not fabricated at the construction site"
264,326299,-1,2720,-1,rubber battery separators
272,332913,-1,2220,-1,plastics plumbing fixture fittings and trim
273,336360,-1,2220,-1,plastic motor vehicle interior panels and trim
274,337215,-1,2220,-1,"finished plastic furniture parts (e.g., frames)"
275,337910,-1,2219,-1,rubber waterbed mattresses
276,337910,-1,2220,-1,plastic waterbed mattresses
277,337920,-1,2220,-1,"plastic shades, blinds (e.g., miniblinds), and plastics hardware for hanging shades, blinds, and drapery"
278,339920,-1,2219,-1,rubber wet suits and diving suits
279,339950,-1,2220,-1,"blanks for plastic name plates, plastic letters for signs"
280,339991,-1,2219,-1,"except textile, leather, cork, paper, plastic, nonmetallic mineral and multimaterial laminated gaskets"
281,339991,-1,2220,-1,plastic gaskets
282,339999,-1,2220,-1,miscellaneous plastic items
283,327999,-1,3211,-1,manufacturing and working but not setting synthetic precious or semiprecious stones for jewelry uses
288,335991,-1,2399,-1,carbon and graphite fibers and products (except electrodes and electrical applications)
289,336340,-1,2399,-1,asbestos based brake linings
290,336350,-1,2399,-1,asbestos based clutch facings
291,339991,-1,2399,-1,nonmetallic mineral gaskets
292,453998,-1,2396,-1,custom finishing and lettering of tombstones
293,331222,-1,2599,-1,"wire products except steel wire, steel wire shopping carts made in drawing plants, and insulated steel wire to be used as a conductor"
294,331222,-1,2732,-1,"insulated steel cable capable of being used as a conductor, made in steel wire drawing plants"
295,331222,-1,3099,-1,shopping carts made in wire drawing plants
296,331318,-1,2599,-1,"aluminum wire products, made in drawing plants"
297,331318,-1,2732,-1,"insulated aluminum wire capable of being used as a conductor, made in wire drawing plants"
298,331420,-1,2599,-1,"copper mechanical wire products made in drawing mills, except drawing copper wire from purchased wire and drawing and insulating copper wire capable of being used as a conductor"
299,331420,-1,2732,-1,insulated copper wire made in integrated secondary smelting and drawing plants or made from purchased copper in drawing plants
300,331491,-1,2599,-1,other nonferrous wire products made in drawing plants
301,331511,-1,2823,-1,rolling mill rolls and steel ingot molds
303,332912,-1,2410,-1,ferrous fluid power hose fittings made from purchased ferrous materials
304,332912,-1,2420,-1,fluid power hose fittings made from purchased nonferrous metal
305,332913,-1,2420,-1,"copper pipe fittings (such as copper elbows, unions, and compression fittings)"
306,332919,-1,2410,-1,"flanges, unions, and other pipe fittings made from purchased pipe"
307,332996,-1,2410,-1,"fabricated metal pipe fittings made from purchased pipe, steel"
308,332996,-1,2420,-1,pipe and pipe fittings made from purchased other nonferrous metal pipe
309,332999,-1,2420,-1,miscellaneous nonferrous metal foil made from purchased foil
310,332215,-1,3290,-1,kitchen hand sieves
311,332216,-1,2790,-1,electric hand held soldering irons and soldering guns
312,332216,-1,2816,-1,jacks (except hydraulic and pneumatic)
313,332216,-1,2819,-1,"levels, tape measures and similar hand tools, machinists' precision tools (except optical)"
314,332216,-1,2821,-1,"non-powered lawn mowers (e.g., rotary push mowers)"
315,332312,-1,3011,-1,prefabricated ship and barge sections
316,332312,-1,3012,-1,prefabricated boat sections
317,332313,-1,2816,-1,laminated crane hooks
318,332313,-1,2823,-1,ladle bails
319,332313,-1,3011,-1,fabricated metal plate buoys
320,332410,-1,2819,-1,heat exchangers
321,332420,-1,2819,-1,"industrial autoclaves, fractioning columns, gas absorbers"
322,332420,-1,2823,-1,"ladles, annealing pots, smelting pots, retorts, etc. for metallurgy"
323,332420,-1,2920,-1,heavy gauge containers for one or more modes of transportation including tanks for tanker trailers
324,332439,-1,2920,-1,"air cargo containers, light gauge metal"
325,332618,-1,3290,-1,other hand sieves manufacturing
326,332911,0,2813,-1,
329,332912,-1,2812,-1,except ferrous and nonferrous fluid power hose fittings
332,332913,-1,2813,-1,except plastics plumbing fixture fittings and trim and copper pipe fittings
334,332919,-1,2813,-1,"aerosol valves, hose nozzles (fire and garden), inline plumbing and heating valves (stops, cut-off etc.)"
335,332919,-1,2819,-1,lawn sprinklers
336,332991,0,2814,-1,
350,333120,-1,2593,-1,construction and surface mining drill bits
351,333131,-1,2593,-1,underground mining drill bits
352,333414,-1,2512,-1,central heating boilers and radiators
353,333511,0,2593,-1,
354,333514,-1,2593,-1,"except jigs, fixtures, and similar noncutting machine tool accessories"
355,333515,-1,2593,-1,"except noncutting accessories, such as work holders, dividing heads, and other special attachments for machine tools"
356,333992,-1,2599,-1,welding rods and electrodes
357,333999,-1,2599,-1,"industrial bellows, weather vanes"
358,336370,0,2591,-1,
359,337215,-1,2511,-1,"room partitions for floor attachment, metal"
360,337920,-1,2593,-1,drapery and curtain rods and hardware
361,337920,-1,2599,-1,metal blinds
362,339910,-1,2592,-1,"industrial engraving on precious metal; engraving (including laser) and etching precious jewelry; engraving (including laser), etching or chasing precious or precious clad hollowware and silverware"
363,339910,-1,2599,-1,"personal goods (cigar and cigarette cases, coin purses, compacts, etc.) of base metal and of base metal plated with precious metal"
364,339950,-1,2599,-1,metal signs and metal sign letters
365,339993,-1,2599,-1,"buckles, hooks, clasps, and similar"
366,339999,-1,2599,-1,metal picture frames
367,334220,-1,3030,-1,satellites
368,334290,-1,2790,-1,"signaling equipment, such as traffic and pedestrian signaling equipment, sirens"
369,334290,-1,3020,-1,"electromechanical signaling, safety, and traffic control equipment (such as railroad crossing equipment)"
371,333314,0,2670,-1,
372,333316,-1,2670,-1,"digital cameras; except duplicating, blueprinting, and photocopy machinery"
373,333997,-1,2651,-1,"laboratory scales and balances, incubators, and miscellaneous measuring devices for laboratories"
374,339930,-1,2640,-1,video game consoles (dedicated games)
383,333318,-1,2790,-1,electrical teaching machines (except flight simulators)
384,333618,-1,2790,-1,electric outboard motors
385,333992,-1,2710,-1,arc welding transformers
386,333992,-1,2790,-1,"welding, soldering, and brazing equipment, electrical"
388,336320,-1,2740,-1,
389,339950,-1,2790,-1,"except wooden, plastic, and metal nonelectric signs"
390,333112,-1,3099,-1,garden wagons
393,333131,-1,3020,-1,mining rail cars
394,333249,-1,3250,-1,laboratory distilling apparatus
398,333318,-1,3030,-1,flight simulators - type specific
399,333318,-1,3290,-1,mechanical carpet sweepers
405,333618,-1,2910,-1,automotive diesel engines
406,333618,-1,3091,-1,motorcycle engines
407,333923,-1,3020,-1,locomotive cranes
408,333924,-1,3099,-1,"grocery carts made from purchased wire, and similar"
414,333999,-1,3250,-1,laboratory centrifuges
431,336211,-1,2816,-1,dump truck lifting mechanisms and tail gate loaders
432,336310,-1,2811,-1,
433,336310,-1,2813,-1,pumps for mounting on internal combustion engines
434,336320,-1,2813,-1,electric fuel pumps
435,336330,-1,2813,-1,power steering pumps
436,336340,-1,2813,-1,brake master cylinders - hydraulic pumps
437,336390,-1,2813,-1,motor vehicle air-conditioning compressors
438,336390,-1,2819,-1,"filters, automotive type including fuel, oil, air, etc.; except individual air-conditioning compressors"
439,336412,-1,2813,-1,pumps used on aircraft engines
440,339113,-1,2813,-1,laboratory pumps (vacuum pumps and similar)
441,339920,-1,2829,-1,bowling alley equipment (pin setters and ball return equipment)
442,339940,-1,2817,-1,"staplers, hand-held punches, labelers, and similar office machinery, blackboards, whiteboards"
443,339940,-1,2819,-1,artists' air brushes
444,339991,-1,2819,-1,gaskets and sealing devices of a combination of materials or laminates of the same material
445,339993,-1,2826,-1,"sewing needles, household or commercial"
446,339999,-1,2819,-1,fire extinguishers
459,336360,-1,3011,-1,ship and floating structure seats
460,336360,-1,3020,-1,railway equipment seats
461,336360,-1,3030,-1,aircraft seats
469,336510,-1,2910,-1,trackless trolley buses (electric power from overhead or underground wires)
470,336999,-1,2910,-1,"except ATV, snowmobile, and golf cart parts; personal watercraft, and animal drawn vehicles"
471,336999,-1,2930,-1,"ATV, snowmobile, and golf cart parts"
472,811121,-1,2920,-1,"custom fabrication of trailer bodies in a shop rather than on a factory basis, custom conversion of vans in a shop rather than a factory"
475,336611,-1,3315,-1,repair and maintenance performed in a shipyard
493,339113,-1,3092,-1,wheel chairs
494,339930,-1,3092,-1,baby carriages and strollers
495,339112,0,3250,-1,
499,339113,-1,3250,-1,"except medicated surgical dressings, laboratory pumps, wheel chairs, and personal safety devices"
500,339113,-1,3290,-1,personal safety devices
501,339114,0,3250,-1,
502,339115,0,3250,-1,
503,339116,0,3250,-1,
506,339910,-1,3211,-1,"except engraving, chasing, or etching on precious jewelry, metal, or clad hollowware and silverware"
507,339910,-1,3212,0,except personal goods of base metal or base metal plated with precious metal
510,339920,-1,3220,-1,game calls (mouth blown signaling instruments)
511,339920,-1,3230,-1,"except game calls, wet suits, bowling alley equipment, and pool tables and related equipment"
512,339920,-1,3240,-1,billiard and pool tables and equipment
515,339930,-1,3230,-1,"miscellaneous sporting toys (wiffle ball bats, other)"
516,339930,-1,3240,-1,"except sporting toys, baby carriages, strollers, and dedicated video game consoles"
524,339940,-1,3290,-1,"except artists' canvas boards, canvas frames, hand-held office machines, artists' air brushes, and carbon paper"
538,339992,0,3220,-1,
541,339993,-1,3290,-1,"except metal buckles, hooks, and similar, and sewing needles"
542,339994,0,3290,-1,
543,339995,0,3290,-1,
544,339999,-1,1410,-1,hair nets
550,339999,-1,3220,-1,music boxes and whistles
551,339999,-1,3240,-1,"coin operated game machines, puppets, slot machines"
552,339999,-1,3290,-1,"except coin operated game machines, puppets, slot machines, music boxes, whistles, fire extinguishers, picture frames, hair nets, potpourri, and miscellaneous plastics items"
553,238220,-1,3320,-1,industrial furnace and power boiler installation
554,238290,-1,331,0,"ISIC group level link - servicing, repair and maintenance of miscellaneous building equipment performed by millwrights and machine rigging contractors"
555,238290,-1,3320,-1,installation of industrial machinery and equipment by specialty contractors
559,337110,0,3100,-1,
560,337121,0,3100,-1,
561,337122,0,3100,-1,
562,337124,0,3100,-1,
563,337125,0,3100,-1,
564,337127,-1,3100,-1,except hydraulic beauty and barber chairs
565,337211,0,3100,-1,
566,337212,0,3100,-1,
567,337214,0,3100,-1,
568,337215,-1,3100,-1,"except wood partitions, finished plastics furniture parts, and metal room partitions"
569,337910,-1,3100,-1,except rubber and plastic waterbed mattresses
570,441222,-1,3315,-1,"retail and repair of new boats, primarily repair"
571,443142,-1,3313,-1,"retail and repair of cameras combined, repair as primary source of receipts"
572,488190,-1,3315,-1,"except non-repair services, such as aircraft testing services"
573,488210,-1,3315,-1,repairing locomotives and railroad cars (except factory rebuilding or factory conversion)
574,488390,-1,3315,-1,"ship scaling not done in shipyards, repairs and routine maintenance performed by floating dry-docks"
575,711510,-1,3319,-1,restoration services for organs and similar instruments
576,811211,-1,3313,-1,camera repair shops
577,811212,-1,3312,-1,repair of office machinery (except computers) and repair of dictating machines
578,811212,-1,3313,-1,repair of digital cameras
579,811213,-1,3313,-1,repair of GPS devices
580,811219,-1,3312,-1,weighing equipment repair and maintenance
581,811219,-1,3313,-1,except repair and maintenance of weighing equipment
582,811310,-1,3311,-1,fabricated metal products
583,811310,-1,3312,-1,"except fabricated metal products, pulse generators, electrical equipment, shopping carts, trailers, other equipment, such as fishing nets, fertilizer bags, plastics and rubber products, non-metallic mineral products, commercial timing mechanisms, repair of trailers, and cleaning of industrial machinery"
584,811310,-1,3313,-1,repair of pulse generators
585,811310,-1,3314,0,repair of electrical equipment
586,811310,-1,3315,-1,repair of shopping carts
587,811310,-1,3319,-1,"repair of miscellaneous commercial and industrial equipment, such as fishing nets, fertilizer bags, plastics and rubber products, non-metallic mineral products, parking meters, and commercial timing mechanisms"
588,811411,-1,3312,-1,"repair of power tools,  hand-held type"
589,811490,-1,3311,-1,gun repair
590,811490,-1,3312,-1,repair of bowling alley equipment
591,811490,-1,3315,-1,"pleasure boat repair and maintenance services (not also selling new boats), repair of animal drawn vehicles"
592,811490,-1,3319,-1,"repair of pin ball machines and other coin-operated games, and similar equipment"
593,337127,-1,3250,-1,hydraulic type beauty and barber chairs
633,221310,-1,3600,0,except long distance water pipelines
634,221310,-1,4930,-1,water pipelines (long distance)
635,221320,0,3700,-1,
637,562111,0,3811,-1,
638,562112,0,3812,0,
639,562119,0,3811,-1,
640,562211,0,3822,0,
641,562212,0,3821,-1,
642,562213,0,3821,-1,except treatment and filtration of nonhazardous industrial waste water (not part of sewer system)
643,562219,-1,3700,-1,treatment and filtration of nonhazardous industrial waste water (not part of sewer system)
644,562219,-1,3821,-1,
645,562920,0,3830,-1,
646,562991,0,3700,-1,
647,562998,0,3700,-1,
649,236210,-1,4290,-1,chemical plant construction
650,236220,-1,4290,-1,stadium construction
651,237110,0,4220,-1,
652,237120,-1,4220,-1,except refinery construction
653,237120,-1,4290,-1,refinery construction
654,237130,0,4220,-1,
655,237210,0,4290,-1,
656,237310,-1,4210,-1,except traffic signaling and highway lighting installation contractors
657,237990,-1,4210,-1,"construction of tunnels, subways, and railroads"
658,237990,-1,4220,-1,construction of hydroelectric generating facilities
659,237990,-1,4290,-1,"marine construction projects, ski lift construction, outdoor recreational facility construction including athletic fields, golf courses, playgrounds, tennis courts, and similar"
661,238220,-1,8129,-1,"boiler chipping, cleaning, and scaling"
664,238990,-1,4210,-1,"interlocking block walkways, driveways, patios, etc."
668,561790,-1,4390,-1,power washing and other exterior cleaning
669,423120,-1,4659,-1,engine testing equipment
670,423120,-1,4663,-1,mechanics' hand tools
671,423210,-1,4649,-1,household furniture
672,423210,-1,4659,-1,except household furniture
673,423220,-1,4641,-1,"linens (bed, bath, table, etc.)"
674,423220,-1,4649,-1,except linens and floor coverings
675,423220,-1,4663,-1,floor coverings
676,423310,-1,4649,-1,kitchen cabinets
677,423310,-1,4663,-1,except kitchen cabinets
678,423320,0,4663,-1,
679,423330,0,4663,-1,
680,423390,0,4663,-1,
681,423410,-1,4649,-1,"except motion picture and theater projection equipment, commercial video equipment, and television cameras"
682,423410,-1,4659,-1,"motion picture and theater projection equipment, commercial video equipment, and television cameras"
683,423420,0,4659,-1,
684,423430,0,4651,0,
685,423440,0,4659,-1,
686,423450,-1,4649,-1,medical instruments and orthopedic devices
687,423450,-1,4659,-1,except household medical instruments and orthopedic devices
688,423460,0,4649,-1,
689,423490,0,4659,-1,
690,423510,0,4662,-1,
691,423520,-1,4661,-1,except metal ores
692,423520,-1,4662,-1,metal ores
693,423610,-1,4649,-1,lighting equipment and light bulbs
694,423610,-1,4652,-1,security systems merchant wholesalers
695,423610,-1,4659,-1,"except lighting equipment, light bulbs, and security systems"
696,423620,0,4649,-1,except water heaters
697,423690,-1,4652,-1,except sonar and radar equipment
698,423690,-1,4659,-1,sonar and radar equipment
699,423710,0,4663,-1,
700,423720,-1,4659,-1,power boilers
701,423720,-1,4663,-1,water heaters and other plumbing and heating equipment and supplies; except power boilers
702,423730,-1,4663,-1,except automotive air-conditioners
703,423740,0,4659,-1,
704,423810,0,4659,-1,
705,423820,0,4653,0,
706,423830,-1,4659,-1,"except chainsaws, ladders, and welding supplies and consumables"
707,423830,-1,4663,-1,"chainsaws, ladders, and welding supplies and consumables"
708,423840,-1,4659,-1,except printing inks
709,423840,-1,4669,-1,printing inks
710,423850,-1,4649,-1,janitorial supplies
711,423850,-1,4659,-1,except janitorial supplies
712,423860,0,4659,-1,
713,423910,-1,4649,-1,except go-carts and hot tubs
714,423910,-1,4663,-1,hot tubs
715,423920,0,4649,-1,
716,423930,0,4669,-1,
717,423940,-1,4649,-1,except precious stones
718,423940,-1,4669,-1,precious stones
719,423990,-1,4649,-1,"pre-recorded audio and video tapes, CDs, records, and similar; luggage, and musical instruments"
720,423990,-1,4659,-1,coin-operated games and amusement devices
721,423990,-1,4661,-1,firewood
722,423990,-1,4663,-1,"ties, poles, wood chips and shavings"
723,423990,-1,4690,-1,"except ties, poles, wood chips, firewood, coin-operated games, prerecorded audio and video tapes, luggage, and musical instruments"
724,424110,0,4669,-1,
725,424120,0,4649,-1,
726,424130,-1,4649,-1,"disposable cups, dishes, flatware, etc."
727,424130,-1,4669,-1,"except disposable cups, dishes, flatware, etc."
728,424210,0,4649,-1,
729,424310,0,4641,-1,
730,424320,0,4641,-1,
731,424330,0,4641,-1,
732,424340,0,4641,-1,
733,424410,0,4630,-1,
734,424420,0,4630,-1,
735,424430,0,4630,-1,
736,424440,-1,4620,-1,live poultry
737,424440,-1,4630,-1,except live poultry
738,424450,0,4630,-1,
739,424460,0,4630,-1,
740,424470,0,4630,-1,
741,424480,0,4630,-1,
742,424490,-1,4630,-1,except flavoring extracts
743,424490,-1,4669,-1,flavoring extracts
744,424510,0,4620,-1,
