,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Educational and vocational structures,"45,127","47,191","50,169","56,356","62,084","65,482","67,712","68,528","71,530","76,894","83,842","89,165","90,930","86,021","85,161","68,219","82,041","83,007","88,209","87,687","94,935","101,958","107,342","109,042","102,770"
Nonresidential maintenance and repair,"84,555","86,646","89,604","93,714","97,265","99,770","102,820","112,963","124,821","136,006","142,908","154,197","149,629","156,769","166,822","174,828","181,857","189,416","191,101","194,377","199,791","208,829","217,011","218,957","241,472"
Residential maintenance and repair,"7,636","14,808","16,310","22,384","26,051","32,175","37,612","46,705","55,784","63,016","67,347","63,448","61,936","62,400","64,250","68,096","70,888","73,640","76,959","80,197","81,772","78,325","75,407","77,597","83,791"
Office and commercial structures,"86,333","95,575","104,799","114,287","117,404","96,391","91,766","100,692","108,649","122,257","140,848","142,658","93,416","66,470","68,031","73,715","77,798","97,038","112,928","148,903","159,171","169,080","181,797","190,889","187,855"
Multifamily residential structures,"21,586","25,293","26,185","26,729","31,377","34,467","35,735","39,184","48,317","52,983","51,564","48,326","32,787","19,860","19,872","26,126","35,340","44,832","55,962","63,846","63,796","67,289","74,410","83,815","92,196"
Other residential structures,"98,295","102,651","109,774","118,458","126,502","136,326","149,850","164,261","179,473","192,124","191,681","178,467","165,667","161,067","164,785","166,508","178,247","192,929","212,844","232,609","252,002","267,303","282,356","305,405","343,160"
Manufacturing structures,"32,363","34,965","30,466","32,627","32,907","17,880","20,174","21,591","26,527","30,075","34,346","51,216","40,668","31,435","37,018","37,260","47,435","50,806","69,028","67,072","60,990","62,661","73,311","69,983","73,675"
Other nonresidential structures,"67,401","75,190","80,452","85,189","80,962","80,561","81,846","85,820","88,565","101,426","119,474","135,046","118,827","96,153","89,533","85,743","88,141","95,478","105,415","107,153","111,876","116,767","125,383","118,642","105,993"
Power and communication structures,"32,106","35,876","42,065","49,335","51,361","53,886","50,047","47,704","51,526","54,362","76,708","88,301","91,148","80,105","76,508","93,986","91,099","105,070","111,108","111,551","111,070","108,049","118,274","122,550","120,989"
Single-family residential structures,"156,443","179,878","204,918","219,130","228,907","244,366","289,557","352,991","407,402","386,643","279,815","166,082","94,700","104,657","99,918","122,107","158,571","181,756","209,093","231,331","254,765","275,932","265,937","293,911","408,309"
Transportation structures and highways and streets,"54,916","58,679","63,119","70,356","76,720","79,969","81,325","84,389","88,763","97,045","105,318","110,486","111,795","109,754","107,648","114,097","103,630","105,743","113,347","127,896","135,870","146,630","152,357","152,386","152,246"
Sawmills and wood preservation,"29,232","28,425","30,693","29,100","26,759","26,853","27,479","31,274","33,671","33,152","27,944","24,544","19,172","22,123","22,161","23,465","26,899","28,582","29,072","30,573","32,283","34,579","30,077","36,475","45,317"
"Veneer, plywood, and engineered wood product manufacturing","18,649","19,984","21,786","21,320","19,632","20,112","21,507","24,714","26,474","25,612","21,698","18,192","12,737","14,089","14,130","17,236","20,201","20,675","20,986","22,124","24,435","25,304","22,991","24,988","29,645"
Millwork,"18,714","19,845","21,812","22,829","22,133","22,515","23,742","26,950","28,380","29,920","27,953","23,471","17,075","18,017","17,851","20,610","22,947","25,345","25,586","25,378","26,209","27,803","27,409","28,632","34,015"
All other wood product manufacturing,"22,212","23,582","23,795","21,773","19,497","20,692","19,941","23,164","26,309","25,878","25,707","22,904","16,928","17,677","18,851","19,462","20,531","22,997","25,370","26,609","28,965","32,740","31,719","32,360","41,080"
Clay product and refractory manufacturing,"9,757","9,603","10,059","10,726","9,545","9,080","9,025","9,250","9,800","10,209","9,768","8,482","6,588","7,719","7,709","7,280","7,804","8,221","8,342","9,193","8,531","9,463","9,639","8,828","9,573"
Glass and glass product manufacturing,"22,602","22,596","23,340","24,232","22,742","22,464","22,089","22,607","23,344","23,815","23,648","23,414","20,346","20,884","22,091","23,570","24,273","24,742","25,886","26,573","26,568","28,645","28,729","27,411","29,574"
Cement manufacturing,"6,429","6,814","6,864","6,994","7,335","7,369","7,503","8,309","9,284","10,340","10,358","8,940","5,729","5,191","5,340","5,927","6,752","7,254","8,215","8,516","8,414","8,727","8,999","9,052","9,870"
Ready-mix concrete manufacturing,"16,934","19,130","20,317","20,762","21,332","21,497","22,457","23,389","26,849","31,382","34,784","27,715","20,412","20,206","19,335","20,858","21,585","24,541","27,726","30,061","31,355","32,515","33,124","34,177","36,690"
"Concrete pipe, brick, and block manufacturing","4,416","5,410","5,916","6,000","5,927","6,221","6,409","6,801","8,101","9,178","9,010","6,988","6,318","6,048","5,780","5,711","5,914","6,189","6,454","6,712","6,661","7,347","7,132","7,157","7,967"
Other concrete product manufacturing,"5,848","6,769","7,417","7,992","8,372","8,952","8,435","9,402","10,544","11,700","12,079","12,099","8,784","7,722","7,699","8,737","9,580","10,561","11,048","11,442","12,002","13,480","13,765","13,633","14,924"
Lime and gypsum product manufacturing,"5,426","6,508","6,870","5,974","4,871","4,965","5,344","6,293","7,749","9,070","7,509","6,467","4,437","5,190","5,339","5,984","6,762","7,317","7,478","7,400","8,027","8,488","7,966","8,094","8,707"
Abrasive product manufacturing,"4,635","4,701","4,389","4,123","3,380","3,487","3,590","3,806","4,106","4,454","4,450","4,369","3,426","4,461","5,070","5,296","5,374","5,909","5,424","5,278","4,807","4,585","3,837","3,437","3,758"
Cut stone and stone product manufacturing,"1,289","1,369","1,628","1,773","1,882","2,366","2,467","2,737","3,094","3,470","4,427","4,119","3,225","3,481","3,707","3,660","4,109","4,274","4,452","4,574","4,924","5,119","5,389","5,419","5,840"
Ground or treated mineral and earth manufacturing,"2,357","2,201","2,265","2,306","2,210","2,079","2,436","2,122","1,907","3,121","3,155","3,455","3,425","3,854","3,867","3,550","3,965","4,247","3,903","3,904","4,369","3,964","4,148","3,871","4,119"
Mineral wool manufacturing,"4,398","4,529","4,741","4,779","4,768","4,894","4,826","5,324","5,734","6,194","6,002","5,362","4,656","4,813","5,257","4,934","5,686","5,820","5,966","6,213","6,280","6,250","9,863","9,541","10,352"
Miscellaneous nonmetallic mineral products,"1,769","2,007","1,881","2,054","2,045","1,881","1,965","2,350","2,694","2,875","3,273","3,016","2,625","2,789","2,872","4,133","4,499","4,513","4,223","4,911","4,765","4,312","4,680","4,616","4,944"
Iron and steel mills and ferroalloy manufacturing,"58,529","57,084","52,910","52,242","45,072","47,179","48,679","76,590","82,468","92,645","101,939","126,698","64,211","95,735","117,837","112,976","108,244","109,590","88,262","76,979","89,673","104,630","93,673","75,707","110,526"
Steel product manufacturing from purchased steel,"18,375","18,740","16,736","17,220","14,932","15,016","14,288","17,897","20,410","19,982","22,385","25,676","15,108","22,661","26,348","25,906","24,770","25,234","20,810","19,341","21,800","26,302","25,869","21,748","28,670"
Secondary smelting and alloying of aluminum,"3,547","3,461","3,379","3,503","3,085","3,518","3,522","4,058","5,285","6,632","7,766","7,169","3,269","4,894","5,628","5,777","6,117","6,434","6,183","5,487","5,964","6,499","5,656","4,344","5,440"
Alumina refining and primary aluminum production,"7,501","7,493","6,864","6,925","6,035","5,729","5,588","6,872","6,559","8,010","7,841","8,171","4,424","5,771","7,052","6,507","6,010","5,546","5,743","3,369","2,716","3,176","2,939","2,331","2,914"
Aluminum product manufacturing from purchased aluminum,"21,380","20,972","20,591","20,959","19,036","18,839","18,003","20,841","24,215","26,818","25,905","24,504","17,600","22,483","25,403","25,356","26,394","27,088","25,691","25,051","26,670","31,965","29,268","24,146","32,075"
Nonferrous Metal (except Aluminum) Smelting and Refining,"9,486","9,025","7,933","6,318","5,577","5,025","4,736","6,314","7,292","12,007","13,562","13,521","12,069","16,984","18,998","14,844","15,063","14,323","10,560","8,887","10,033","12,078","12,132","12,419","15,440"
"Copper rolling, drawing, extruding and alloying","9,769","9,705","8,962","9,530","7,664","10,022","10,138","13,237","15,609","20,704","25,572","23,366","14,289","21,709","25,827","23,349","23,597","23,124","19,585","19,178","21,618","23,168","22,009","21,062","26,203"
"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","10,173","10,288","9,143","9,106","8,294","7,114","6,903","7,565","9,569","12,397","18,199","20,041","13,529","17,987","23,237","22,789","21,202","20,700","18,298","16,245","14,420","14,914","15,343","12,953","15,651"
Ferrous metal foundries,"18,023","18,034","18,534","18,486","16,776","15,238","15,022","17,170","19,222","21,047","19,301","18,815","13,903","16,703","18,932","18,894","18,622","19,790","17,948","16,009","16,702","17,478","16,898","14,022","14,932"
Nonferrous metal foundries,"11,503","11,833","11,537","11,415","10,448","11,483","10,798","11,353","11,839","12,882","13,879","12,380","8,722","10,777","12,243","12,819","13,218","13,725","14,034","13,065","13,146","13,597","12,631","9,796","10,687"
Custom roll forming,"3,259","3,417","3,554","3,691","3,374","3,987","4,469","5,700","6,530","7,171","8,046","8,961","5,973","7,067","7,785","8,342","8,264","8,751","7,884","7,236","7,269","7,996","7,847","6,542","7,190"
"All other forging, stamping, and sintering","8,176","8,765","8,330","8,471","7,913","7,429","7,190","7,958","9,094","10,408","12,433","12,643","9,838","10,919","12,828","14,316","14,397","14,606","13,425","12,242","12,554","13,753","13,287","10,155","11,797"
"Metal crown, closure, and other metal stamping (except automotive)","12,968","13,407","14,126","15,226","12,668","9,874","10,075","11,491","12,708","13,320","12,749","13,729","10,274","11,624","13,137","11,905","12,023","11,952","11,837","10,750","11,520","12,351","12,314","10,900","11,804"
Cutlery and handtool manufacturing,"11,753","11,777","12,082","12,189","11,150","11,142","10,788","9,907","10,549","10,664","11,461","10,173","9,920","10,943","10,857","9,628","9,834","9,651","10,006","9,321","9,098","9,390","9,534","9,278","9,824"
Plate work and fabricated structural product manufacturing,"23,843","25,522","26,632","27,739","26,600","27,997","26,884","29,289","34,290","39,733","45,547","50,746","38,573","34,986","37,271","40,664","41,296","44,646","45,291","44,088","45,338","50,458","51,921","47,864","54,348"
Ornamental and architectural metal products manufacturing,"29,967","32,037","33,680","36,601","35,309","31,906","31,523","34,591","38,185","41,354","43,761","44,416","34,452","33,374","34,902","36,595","36,920","38,855","40,189","41,728","42,764","45,530","47,497","46,636","53,077"
Power boiler and heat exchanger manufacturing,"3,997","4,162","4,109","4,229","4,313","3,811","3,596","3,631","4,350","5,549","5,872","7,248","5,719","5,674","6,678","7,033","7,496","8,035","7,536","6,705","6,144","6,682","7,261","6,438","7,208"
Metal tank (heavy gauge) manufacturing,"4,707","4,783","4,907","4,704","4,554","4,792","4,914","5,235","5,973","7,908","8,697","9,063","6,229","5,808","7,187","9,457","9,585","10,102","9,269","7,656","8,117","9,661","9,981","8,233","8,517"
"Metal can, box, and other metal container (light gauge) manufacturing","14,055","14,500","14,089","14,055","13,762","14,728","14,583","14,909","15,488","15,892","17,161","18,228","17,576","18,494","18,875","18,851","18,578","19,047","18,379","17,005","17,955","19,398","19,707","20,097","21,378"
Hardware manufacturing,"10,925","10,960","11,398","11,971","10,853","10,197","10,000","9,887","9,858","10,043","9,248","8,335","6,484","6,584","6,837","7,291","7,614","7,982","8,253","8,354","8,667","9,260","9,334","8,977","10,404"
Spring and wire product manufacturing,"8,431","9,321","8,905","8,895","8,254","8,623","8,434","8,525","9,054","9,012","9,147","9,136","7,371","8,014","8,224","8,443","8,521","8,601","8,828","8,573","8,872","9,742","9,655","8,994","10,139"
Machine shops,"26,932","27,225","28,155","30,802","29,609","26,838","26,673","29,282","32,554","36,314","37,173","39,478","30,408","33,855","39,592","39,897","40,369","41,592","39,167","40,108","38,246","43,571","45,050","39,930","45,919"
"Turned product and screw, nut, and bolt manufacturing","16,343","17,203","16,656","17,056","15,382","16,329","15,779","16,775","18,877","19,977","24,272","24,969","18,549","21,427","24,410","28,017","28,896","28,950","28,288","27,032","28,846","30,887","30,851","25,421","29,210"
"Coating, engraving, heat treating and allied activities","18,243","19,300","19,533","20,703","19,568","19,329","18,838","20,633","23,240","24,889","26,840","27,809","20,452","24,337","27,168","27,238","27,897","29,243","27,221","25,421","26,160","28,937","29,264","25,257","28,767"
Plumbing fixture fitting and trim manufacturing,"3,588","3,675","3,362","3,421","3,203","3,384","3,167","3,277","3,254","3,886","4,386","4,392","3,487","3,178","3,079","3,534","3,869","3,818","4,004","4,389","4,388","4,786","5,437","5,394","6,366"
Valve and fittings other than plumbing,"19,025","20,050","18,608","19,275","18,487","17,717","17,548","18,246","20,073","22,392","24,360","25,518","20,690","24,585","29,376","28,454","29,424","29,645","28,050","27,147","26,116","28,909","28,524","25,604","28,743"
Ball and roller bearing manufacturing,"6,076","6,126","6,026","5,992","5,106","5,700","5,893","6,542","7,113","7,520","7,488","9,677","7,194","7,534","8,836","7,015","6,636","7,122","6,997","6,485","6,360","6,676","6,233","5,103","5,911"
Fabricated pipe and pipe fitting manufacturing,"4,111","4,178","4,255","4,588","4,651","3,811","3,630","3,890","4,774","5,597","7,348","8,433","6,222","6,189","7,516","8,205","8,008","8,140","7,632","6,018","6,338","6,958","7,055","5,969","6,827"
"Ammunition, arms, ordnance, and accessories manufacturing","5,171","5,260","5,208","5,031","4,422","5,176","6,237","7,270","7,450","9,298","8,470","9,413","9,735","10,683","12,640","14,054","15,887","14,317","13,832","15,707","14,239","14,271","15,747","18,950","19,831"
Other fabricated metal manufacturing,"12,374","13,027","13,688","14,548","13,383","14,098","14,053","13,231","14,493","15,740","18,301","15,404","11,067","10,343","9,592","14,583","15,039","15,616","15,875","14,650","14,812","16,466","17,210","16,300","16,618"
Farm machinery and equipment manufacturing,"15,784","16,292","11,409","13,273","13,523","14,049","14,880","17,015","19,637","19,528","21,281","24,408","23,080","21,340","24,611","34,791","38,822","39,436","30,649","23,898","24,416","28,580","30,461","29,230","30,557"
Lawn and garden equipment manufacturing,"4,013","4,863","4,838","4,846","4,384","3,608","3,711","4,318","4,553","4,035","7,137","5,244","4,427","5,418","7,432","7,714","8,313","8,572","9,197","8,201","8,173","8,211","8,685","8,733","9,120"
Construction machinery manufacturing,"21,208","22,177","21,255","21,843","18,730","17,116","18,797","23,879","31,066","35,841","33,425","34,336","21,301","28,085","35,834","40,287","34,423","36,808","28,881","26,545","28,984","32,291","36,950","28,894","35,667"
Mining and oil and gas field machinery manufacturing,"8,695","8,770","6,736","7,511","7,556","6,863","7,326","8,330","10,319","14,505","20,653","23,892","19,561","20,610","24,885","32,809","32,177","32,294","21,580","15,743","17,028","20,130","18,651","14,834","15,204"
Semiconductor machinery manufacturing,"10,989","10,527","12,751","20,048","13,063","9,934","9,481","11,990","11,836","15,104","14,600","10,298","6,425","12,175","12,036","10,327","9,350","7,523","6,097","6,408","7,989","9,245","9,920","10,450","16,005"
Other industrial machinery manufacturing,"25,771","25,096","24,778","25,933","23,288","20,844","20,175","20,587","22,074","23,514","26,177","27,023","21,821","21,762","25,923","22,798","24,053","26,133","26,711","28,678","27,145","29,799","30,351","29,604","45,114"
Optical instrument and lens manufacturing,"3,335","3,330","3,698","3,569","2,920","3,201","3,316","3,333","3,584","3,985","4,469","4,992","4,721","4,919","5,155","5,432","5,134","4,649","4,893","5,058","4,870","5,564","5,484","5,864","6,007"
Photographic and photocopying equipment manufacturing,"7,953","8,275","7,981","5,305","3,626","2,023","2,046","2,223","2,360","2,600","2,418","3,317","4,307","5,324","6,826","2,467","2,373","1,937","2,060","1,914","1,764","1,570","1,280","1,287","1,203"
Other commercial and service industry machinery manufacturing,"15,242","15,637","16,016","16,802","16,204","16,746","15,676","16,252","17,320","18,697","18,341","17,683","15,603","16,112","17,641","19,250","18,616","21,046","21,322","20,488","18,929","21,279","21,046","18,125","22,711"
Heating equipment (except warm air furnaces) manufacturing,"3,770","3,743","4,064","4,291","4,043","3,869","3,963","4,285","4,767","5,108","4,955","5,088","3,640","3,680","3,990","4,971","4,749","4,481","4,558","4,290","4,291","4,545","5,198","4,794","5,327"
"Air conditioning, refrigeration, and warm air heating equipment manufacturing","22,931","24,864","25,984","26,158","24,654","23,803","24,053","25,287","28,351","29,053","30,281","29,849","27,157","28,041","29,803","30,540","31,596","31,047","32,742","32,602","32,161","33,542","34,418","33,495","37,185"
Industrial and commercial fan and blower and air purification equipment manufacturing,"4,073","4,126","4,110","4,208","3,856","4,019","4,024","3,950","4,250","4,733","5,535","5,972","4,770","4,736","5,274","6,140","6,359","6,565","6,677","6,951","6,551","7,087","7,431","7,430","8,293"
Industrial mold manufacturing,"5,532","5,425","5,592","5,938","4,965","5,641","5,452","5,394","5,759","5,850","5,784","5,592","4,414","5,112","5,656","6,317","6,429","6,468","6,495","6,199","6,712","6,881","6,319","6,039","6,000"
"Special tool, die, jig, and fixture manufacturing","8,375","8,505","8,388","8,760","7,370","7,117","7,163","7,208","7,908","7,956","7,817","8,106","5,759","6,751","7,821","7,501","7,849","8,265","8,423","8,285","9,308","9,402","8,661","7,724","7,812"
Machine tool manufacturing,"7,673","7,023","6,710","6,790","5,642","4,203","4,017","4,289","4,990","5,612","6,598","7,218","4,696","5,385","7,100","8,117","8,292","8,520","8,191","7,316","7,931","8,572","8,223","7,284","7,923"
"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","9,482","9,634","9,433","10,056","8,664","8,360","7,712","7,888","8,269","8,417","8,383","8,643","6,142","7,267","8,203","8,690","8,546","9,022","9,122","8,784","9,372","9,663","9,284","7,847","8,200"
Turbine and turbine generator set units manufacturing,"6,799","7,152","6,963","8,524","12,490","14,130","13,287","6,681","7,108","6,708","9,585","9,809","11,897","10,716","12,096","17,063","15,038","14,672","15,140","14,099","12,412","10,598","9,654","9,456","9,344"
"Speed changer, industrial high-speed drive, and gear manufacturing","2,392","2,449","2,479","2,508","2,140","2,029","1,978","2,001","2,175","2,487","3,453","3,719","2,812","3,037","3,670","4,887","3,926","3,862","3,683","3,165","3,336","3,804","3,667","3,292","3,749"
Mechanical power transmission equipment manufacturing,"3,134","3,288","3,188","3,371","3,045","2,707","2,492","2,765","3,037","3,231","4,178","4,377","3,177","3,577","4,355","4,425","4,246","4,178","4,321","4,232","4,565","4,614","4,952","4,006","4,564"
Other engine equipment manufacturing,"19,161","20,516","22,716","21,544","19,500","18,425","20,380","23,569","26,379","28,281","25,467","24,946","16,559","20,725","27,659","28,185","25,634","29,044","27,555","22,587","25,605","29,638","27,739","20,236","22,862"
Air and gas compressor manufacturing,"5,412","5,135","5,444","5,961","4,987","4,208","4,462","5,211","6,596","7,951","9,438","9,709","7,908","8,305","9,094","10,128","10,488","11,179","10,106","8,610","9,796","10,521","11,034","9,226","9,236"
Pump and pumping equipment manufacturing,"7,922","8,769","8,480","8,784","8,258","7,776","8,717","9,186","10,197","10,524","13,427","14,095","12,413","12,774","15,126","16,288","16,805","17,595","16,818","16,011","16,873","17,931","17,819","15,962","17,255"
Material handling equipment manufacturing,"16,372","17,437","18,213","19,618","17,822","15,066","15,851","18,064","21,565","24,442","27,384","26,856","22,597","27,854","29,752","30,484","28,178","29,320","27,754","28,072","29,241","31,858","32,315","29,600","33,795"
Power-driven handtool manufacturing,"3,417","4,386","5,111","7,827","6,162","3,433","3,125","2,819","2,724","2,003","2,429","2,599","1,859","2,131","2,547","3,867","3,748","3,341","3,245","3,146","3,405","3,560","3,717","3,521","3,804"
Packaging machinery manufacturing,"4,762","4,826","4,657","4,665","4,197","4,104","4,084","3,825","3,931","4,133","4,334","4,815","3,926","4,441","5,186","5,661","5,678","5,634","5,866","6,502","6,522","6,806","7,305","7,201","8,150"
Industrial process furnace and oven manufacturing,"3,494","3,255","2,953","3,173","2,844","2,605","2,499","2,325","2,518","2,495","2,415","2,621","2,081","2,328","2,734","2,744","2,717","2,808","2,836","2,713","2,665","2,741","2,858","2,499","2,684"
Other general purpose machinery manufacturing,"15,371","15,085","14,586","15,415","13,857","15,126","15,410","16,347","17,788","18,414","17,714","18,832","14,796","16,976","19,243","21,502","21,991","23,092","22,223","21,524","22,787","23,574","24,776","22,600","25,364"
Fluid power process machinery,"6,705","7,425","7,333","7,834","7,048","5,788","6,055","6,736","7,813","8,466","9,156","9,881","7,388","9,109","9,435","11,365","11,447","11,439","11,611","10,614","11,633","12,495","12,134","10,677","11,608"
